Instance,Budget,Cal_A,Nodes,Arcs,SpecialArcs,OptGap,ObjVal,MaxFlow,Int_L1,Int_L2,Int_L3,Other, Time
Net1,0,1,22,66,16,0.0,12,286.0,0,0,0,0,0.24
Net1,3,1,22,66,16,0.0,9,222.0,0,0,3,0,0.05
Net1,6,1,22,66,16,0.0,6,161.0,0,2,4,0,0.03
Net1,9,1,22,66,16,0.0,5,120.0,0,2,7,0,0.04
Net1,12,1,22,66,16,0.0,3,74.0,0,2,10,0,0.04
Net2,0,1,22,68,17,0.0,13,290.0,0,0,0,0,0.04
Net2,3,1,22,68,17,0.0,10,232.0,0,2,1,0,0.1
Net2,6,1,22,68,17,0.0,8,169.0,0,4,2,0,0.05
Net2,9,1,22,68,17,0.0,6,150.0,0,3,6,0,0.16
Net2,12,1,22,68,17,0.0,4,94.0,0,4,8,0,0.04
Net3,0,1,22,70,14,0.0,12,254.0,0,0,0,0,0.04
Net3,3,1,22,70,14,0.0,9,193.0,3,0,0,0,0.03
Net3,6,1,22,70,14,0.0,7,146.0,3,3,0,0,0.03
Net3,9,1,22,70,14,0.0,5,115.0,4,4,0,0,0.11
Net3,12,1,22,70,14,0.0,4,81.0,6,3,0,0,0.04
Net4,0,1,22,68,16,0.0,11,236.0,0,0,0,0,0.04
Net4,3,1,22,68,16,0.0,9,176.0,2,1,0,0,0.03
Net4,6,1,22,68,16,0.0,7,165.0,2,1,2,0,0.11
Net4,9,1,22,68,16,0.0,5,128.0,2,3,2,0,0.14
Net4,12,1,22,68,16,0.0,4,91.0,2,3,6,0,0.11
Net5,0,1,22,71,19,0.0,14,319.0,0,0,0,0,0.03
Net5,3,1,22,71,19,0.0,11,248.0,0,2,1,0,0.03
Net5,6,1,22,71,19,0.0,8,193.0,0,2,4,0,0.04
Net5,9,1,22,71,19,0.0,6,145.0,0,1,8,0,0.07
Net5,12,1,22,71,19,0.0,4,104.0,0,2,9,0,0.05
Net6,0,1,22,63,15,0.0,13,282.0,0,0,0,0,0.03
Net6,3,1,22,63,15,0.0,10,221.0,0,3,0,0,0.04
Net6,6,1,22,63,15,0.0,7,165.0,1,2,3,0,0.04
Net6,9,1,22,63,15,0.0,5,131.0,0,5,2,0,0.04
Net6,12,1,22,63,15,0.0,3,78.0,0,5,5,0,0.03
Net7,0,1,22,61,12,0.0,9,206.0,0,0,0,0,0.03
Net7,3,1,22,61,12,0.0,6,141.0,0,3,0,0,0.03
Net7,6,1,22,61,12,0.0,4,95.0,1,4,0,0,0.04
Net7,9,1,22,61,12,0.0,3,54.0,2,5,0,0,0.03
Net7,12,1,22,61,12,0.0,2,33.0,3,5,0,0,0.04
Net8,0,1,22,69,14,0.0,12,259.0,0,0,0,0,0.03
Net8,3,1,22,69,14,0.0,9,200.0,2,1,0,0,0.03
Net8,6,1,22,69,14,0.0,6,134.0,6,0,0,0,0.03
Net8,9,1,22,69,14,0.0,4,98.0,6,2,0,0,0.03
Net8,12,1,22,69,14,0.0,2,45.0,8,2,0,0,0.05
Net9,0,1,22,64,13,0.0,12,241.0,0,0,0,0,0.03
Net9,3,1,22,64,13,0.0,9,195.0,0,2,1,0,0.03
Net9,6,1,22,64,13,0.0,6,151.0,0,3,3,0,0.03
Net9,9,1,22,64,13,0.0,5,110.0,0,4,5,0,0.03
Net9,12,1,22,64,13,0.0,3,80.0,0,3,9,0,0.04
Net10,0,1,22,69,14,0.0,12,275.0,0,0,0,0,0.03
Net10,3,1,22,69,14,0.0,9,205.0,3,0,0,0,0.03
Net10,6,1,22,69,14,0.0,7,150.0,4,2,0,0,0.09
Net10,9,1,22,69,14,0.0,5,108.0,5,3,0,0,0.04
Net10,12,1,22,69,14,0.0,4,80.0,5,5,0,0,0.09
